"","P","FC","geneNames"
"CD97",6.84832015688038e-62,0.749749645231648,""
"CELSR1",0.00170231616271748,1.79106649226405,""
"CELSR3",0.295915186960939,1.09203421215354,""
"EMR1",5.19781321051605e-06,0.554548848385837,""
"EMR2",2.08251126978185e-57,0.57175674935618,""
"GPR113",0.0153864363890719,0.807282761425594,""
"GPR114",2.97446157991442e-10,0.750912089954422,""
"GPR126",0.000114633622890013,0.379341817990256,""
"GPR133",0.000219538600282295,0.583391976811902,""
"GPR56",1.63967752166329e-45,0.59510861761803,""
"GPR97",0.531870562356385,1.19351713841871,""
"ADORA2A",7.80118575459197e-19,0.720318074627537,"ADORA2A"
"ADORA2B",1.0947504277022e-08,0.360509729066916,""
"ADORA3",8.69261120237614e-19,0.268775944549494,""
"ADRA2B",0.180199755149841,1.00924820828442,""
"ADRB1",0.265544177333379,1.00715960735056,"ADRB1"
"ADRB2",7.89904154192344e-05,0.861033739374416,"ADRB2"
"C3AR1",8.86478521579484e-69,0.250926004299103,""
"C5AR1",3.46695381097255e-66,0.204972882252884,""
"CCKBR",0.853137568652806,2.75674987051292,""
"CCR1",1.30264253775444e-80,0.224936955565025,""
"CCR10",0.301298595751043,1.2525075988256,""
"CCR2",2.51594298214497e-26,0.488619332785476,""
"CCR4",0.692936099112876,1.09280651749601,""
"CCR5",1.16782755671988e-98,0.482503598561251,""
"CCR6",3.76824878594293e-48,2.36578712305905,""
"CCR7",4.43369158575612e-180,2.56730025335387,""
"CCR8",0.00120720185592402,0.745047730794821,""
"CCR9",0.12352957998649,0.870572455946119,""
"CCRL2",2.21554844062623e-39,0.35597565556564,""
"CMKLR1",1.27337015805025e-45,0.162609874067387,""
"CNR1",0.000171129518190696,3.61421019529725,""
"CNR2",2.95334349801619e-40,2.92028958729565,""
"CX3CR1",4.6756877559489e-30,0.418339842423791,""
"CXCR2",9.40484597965524e-07,0.443961605576021,""
"CXCR3",6.46259780830884e-62,0.615872328503845,""
"CXCR4",6.0656124640105e-56,1.07569393427653,""
"CXCR5",2.57143247436362e-79,2.44092123576933,""
"CXCR6",4.89279400713933e-62,0.569783777484274,""
"CYSLTR1",0.0252519940868241,1.1197694063531,""
"CYSLTR2",2.11035484465251e-05,0.564110087273754,""
"EDNRB",5.48724569146648e-10,0.0764745983136351,""
"F2R",2.30038742394307e-33,0.659438478807718,""
"F2RL2",0.00138933807380115,0.87015501949306,""
"FFAR2",7.0853735100007e-13,0.197358527165635,""
"FFAR3",0.000328631941028411,0.409859642986935,""
"FPR1",1.19597978503753e-59,0.212326000998053,""
"FPR2",1.47837890081505e-24,0.136806485767378,""
"FPR3",3.19557989800796e-67,0.101121809045528,""
"GPBAR1",4.50160366460871e-12,0.375654914783948,""
"GPR132",0.000307521278197408,0.91860934525788,""
"GPR141",7.76763659601236e-21,0.360028486373593,""
"GPR146",0.00322490523561281,0.723246738028569,""
"GPR15",6.14935000956979e-07,2.32229303135346,""
"GPR160",0.0261133398271176,1.43990844110242,""
"GPR171",2.35395238866664e-39,0.639098412756537,""
"GPR174",7.39571881277873e-11,0.815379169341074,""
"GPR18",5.78176988344036e-13,1.56568631011805,""
"GPR183",3.35146123223499e-17,1.24405392032435,""
"GPR19",0.0424698552102628,0.852095598503963,""
"GPR22",0.271645715132183,0.997556916750051,""
"GPR25",0.104019454757246,0.767532328993818,""
"GPR31",0.0725942879470195,0.836388111955317,""
"GPR34",4.21393758945585e-10,0.542752396579724,""
"GPR35",1.18255842875347e-07,0.661623256755131,""
"GPR42",0.00305319137738905,0.425786568250901,""
"GPR65",1.14028083436178e-16,0.775954364741768,"GPR65"
"GPR68",1.03167342583588e-08,0.731407222604183,""
"GPR75",0.717510083941593,0.960746835390978,""
"GPR82",0.819444605771189,1.07614384937797,""
"GPR84",2.36162492790153e-48,0.110824030441804,""
"HRH1",1.80369241316504e-06,0.226174981755303,""
"HRH2",1.66370387045476e-14,0.62090275060749,""
"LGR6",0.489801588932935,0.96153950644513,""
"LPAR1",2.6021576136369e-20,0.230977379503416,""
"LPAR2",0.0445025370842337,0.968824953976073,""
"LPAR5",1.88999779600666e-09,0.759650639745772,""
"LPAR6",3.82119000296761e-08,0.800183404203512,""
"LTB4R",1.33313262360136e-07,0.769985802411244,""
"LTB4R2",0.000144599929856408,0.832433072987436,""
"MC1R",0.851590906441315,1.14822047082776,""
"NMUR1",1.6924914135461e-11,0.497953948809168,""
"OPN3",8.5854388685288e-07,0.545595433234374,""
"OPRL1",4.50284632714273e-05,0.525311363329809,""
"P2RY1",9.00101030016114e-12,0.332653997205633,""
"P2RY10",0.000798957547730012,1.14180262346043,""
"P2RY11",2.71662092361031e-22,0.579629233482959,""
"P2RY12",0.0100517857131835,0.535962545677933,""
"P2RY13",1.0201600324239e-24,0.237436372053159,""
"P2RY14",0.00991910107824644,0.763248764278257,""
"P2RY2",6.41744024042223e-07,0.224709233882935,""
"P2RY6",1.83076604915328e-40,0.180361517166048,""
"P2RY8",0.085798061629213,1.0845302441064,""
"PTAFR",2.58952267351438e-60,0.219575414708029,""
"PTGDR2",0.15687280226484,1.12381966765217,""
"PTGDR",0.0102629616428655,0.890832751601178,""
"PTGER2",1.76263135864301e-36,0.509387115089513,"PTGER2"
"PTGER4",3.33602732412267e-09,0.880318439712163,"PTGER4"
"PTGIR",2.66106533818347e-07,0.595431380861186,""
"S1PR1",2.79505309116234e-37,1.60611584241786,""
"S1PR2",0.299926078354736,1.06796773518504,""
"S1PR4",1.7206471244862e-06,0.815900067965863,""
"S1PR5",3.3618832431772e-06,0.66217611462632,""
"SUCNR1",7.45054332015357e-12,0.174319712837531,""
"TSHR",0.744560156691061,1.03667622492789,""
"CALCRL",2.3067328427862e-06,0.426024985694952,""
"GIPR",3.79912498452566e-08,0.710657119676236,""
"GABBR1",0.0854866452305178,1.19840638248713,""
"GPRC5B",0.00109137996662746,0.40703949308474,""
"FZD1",3.51443800748394e-15,0.138032943097091,""
"FZD3",0.16000761120964,0.986516298860789,""
"FZD6",3.42375942926664e-10,0.571456939033164,""
"GPR107",3.01096881870633e-18,0.714786921269399,""
"GPR137",7.19571954657855e-05,0.832208830784982,""
"GPR157",8.72433032682141e-05,0.590840026229705,""
"TPRA1",5.73785090238848e-10,0.709425995095114,""
"GNA11",0.00938560394785544,0.705935840251696,""
"GNA12",4.98736518331316e-07,0.791189859808894,""
"GNA13",2.76060788819763e-14,0.838044433560175,""
"GNA15",2.58315808471992e-71,0.3684714379638,""
"GNAI2",1.87425795805022e-34,0.731873910694772,""
"GNAI3",1.1763580928654e-40,0.639309004376169,""
"GNAO1",0.0687611557912663,1.24871368738752,""
"GNAQ",2.80906056165654e-12,0.769994808052158,""
"GNAS",0.0897452574799824,0.968190023646647,""
"GNAT2",0.750325207943315,1.08665878754472,""
"GNB1",4.60299794526556e-17,0.815986963958619,""
"GNB2",9.88964880622063e-28,0.671441792508459,""
"GNB4",7.19890066411074e-32,0.406835550194619,""
"GNB5",2.58322481378641e-13,1.35604613921555,""
"GNG10",1.02150169286878e-56,0.487283889060665,""
"GNG12",6.99526177004602e-15,0.108851916222853,""
"GNG2",4.15423460204673e-19,0.835123964266399,""
"GNG4",2.94494174578015e-18,0.388028063278585,""
"GNG5",2.78800125218445e-107,0.592537906787074,""
"GNG7",5.47823389858022e-19,1.99763765879371,""
"GNG8",0.00614021396429265,1.82535444058493,""
"GNGT2",5.1502767360292e-21,0.498520977174555,""
"ARHGEF1",3.33235150293634e-08,1.02372416927485,""
"ARHGEF11",3.19821058276744e-17,0.271400224633339,""
"ARHGEF12",2.17052708114526e-06,0.849686694444254,""
"RGS1",2.03010099522964e-52,0.809339222554272,""
"RGS10",6.85108186272275e-47,0.658376448835051,""
"RGS12",1.90351817723919e-10,0.623998453896255,""
"RGS13",0.894942060940823,1.11292374166505,""
"RGS14",8.31226445082212e-05,0.87641908034565,""
"RGS16",0.832107079107489,1.09118382827975,""
"RGS18",1.75210292143424e-23,0.289087252529024,""
"RGS19",2.55351908477647e-20,0.754326971292829,""
"RGS2",1.55814240374106e-05,0.895880065233666,""
"RGS3",2.05484168304609e-32,0.60170345133105,""
"RGS4",0.00284553257836143,0.60359500430917,""
"RGS9",9.87250595293865e-06,0.704044346966306,""
