"","p.value","estimate.rho"
"CD97",3.71320635593289e-06,0.623968736430742
"CELSR1",0.00105133843616812,-0.458381957994411
"CELSR3",0.0246494469048131,0.325010855405992
"EMR1",0.984809757710817,0.00282248215698157
"EMR2",0.022995283815092,0.328701693443335
"GPR113",0.0369614380918433,0.302648719062093
"GPR114",0.000541283038507406,0.485887972210161
"GPR126",0.458634664942042,0.109532915685702
"GPR133",0.118749944464093,0.228205407923967
"GPR56",3.41833578159982e-08,0.726443768996961
"GPR97",0.942703167719847,0.0106545024481797
"ADORA2A",1.79006812777386e-05,0.585757707338254
"ADORA2B",0.216829068126395,0.181557325559148
"ADORA3",0.16150448393668,0.205328795211937
"ADRA2B",0.0717349677550432,0.262264999319518
"ADRB1",0.219192514412539,0.180642789383138
"ADRB2",0.786399839801628,-0.0400564481111594
"C3AR1",0.0210385811449872,0.333369518019974
"C5AR1",0.340754915603114,0.140527044315871
"CCKBR",0.193963394233272,-0.190787821933398
"CCR1",7.96410445291385e-05,0.545484151107251
"CCR10",0.39844967959015,-0.1246877559774
"CCR2",0.0265625194279362,0.320994355188884
"CCR4",0.529212764644499,0.0928137212331741
"CCR5",7.82423775506135e-07,0.659248805905341
"CCR6",9.0554096110532e-05,-0.541793313069909
"CCR7",6.83537817703635e-05,-0.549826313504125
"CCR8",0.00803122970844249,0.380264871906209
"CCR9",0.576168040089505,-0.0827254791247795
"CCRL2",1.15088459629283e-07,0.701910551454624
"CMKLR1",0.465597135335508,0.107852736659894
"CNR1",0.00185255047233639,-0.43792301544452
"CNR2",9.68713798327558e-05,-0.539839339991316
"CX3CR1",0.921814625068772,0.0145462440295267
"CXCR2",0.943703585176021,0.0104681701223292
"CXCR3",3.25701813051566e-06,0.627008250108554
"CXCR4",0.623804675098527,0.072405557967868
"CXCR5",9.87714393793039e-06,-0.600629613547547
"CXCR6",0,0.773664785062961
"CYSLTR1",0.0648616245665812,-0.2688884064264
"CYSLTR2",0.104661579505806,0.237107807281609
"EDNRB",0.0721858246715386,0.261864242211044
"F2R",1.90680043832886e-07,0.690729483282675
"F2RL2",0.364061040206941,0.133630047763786
"FFAR2",0.000361523423633914,0.493799569871844
"FFAR3",0.302460051046492,-0.151976204426627
"FPR1",0.218883082026691,0.18076213329848
"FPR2",0.201661947076246,0.187598417155391
"FPR3",0.211741932274444,0.183549603255217
"GPBAR1",0.313941505584814,0.148451705756627
"GPR132",0.502010666855988,0.0990013026487191
"GPR141",0.641799234792992,0.0688794203309542
"GPR146",0.225028614976043,0.178413439423047
"GPR15",2.10173135652391e-06,-0.624475548204611
"GPR160",0.0449802043314439,-0.2912505427703
"GPR171",1.64992960297808e-06,0.642531480677377
"GPR174",0.00229373493066401,0.433239253148068
"GPR18",0.52150392517108,-0.0945505861919236
"GPR183",0.00749298174101738,-0.383412939643943
"GPR19",0.00373154185430093,0.413590968302214
"GPR22",0.364453643014868,-0.133521493703865
"GPR25",0.216118356101358,0.181833690745001
"GPR31",0.930495836276497,-0.0129295717476673
"GPR34",0.900243780343714,-0.0185627442466348
"GPR35",0.847527474859277,-0.0284411636995224
"GPR42",0.535933897808068,-0.091566783935512
"GPR65",0.00690224276985496,0.387103777681285
"GPR68",0.0122969357230925,0.360290924880591
"GPR75",0.349369358394084,0.13806396078488
"GPR82",0.980351650412439,0.0036908380373426
"GPR84",0.0749620200452893,0.25943925842446
"HRH1",0.0794578235861631,0.255658457184854
"HRH2",0.655958207421328,-0.0657837603126357
"LGR6",0.103306893704871,-0.238011235737773
"LPAR1",0.664914559102004,0.0641444535145511
"LPAR2",0.00868441005092885,0.376682587928789
"LPAR5",0.01754620683076,0.342705167173252
"LPAR6",0.22302304873996,0.178897090751194
"LTB4R",0.152822775416829,0.209400781589231
"LTB4R2",0.0674632824166733,0.266391663048198
"MC1R",0.367209083539308,0.132761615284412
"NMUR1",0.704771406183309,0.0561239721215182
"OPN3",0.988899136147925,0.0020625831147173
"OPRL1",0.947866755527108,-0.00969292910491797
"P2RY1",9.61153604892386e-08,0.681676596744668
"P2RY10",0.039121082934363,0.299392097264438
"P2RY11",0.000195721673403195,0.518779852366478
"P2RY12",0.691145329201236,-0.058846942211792
"P2RY13",0.266427903895027,0.16363538254252
"P2RY14",0.848103606447824,0.0283326096396005
"P2RY2",0.113825438516678,0.231220877159434
"P2RY6",0.204590930396155,0.186407557281375
"P2RY8",0.0155487234080758,-0.348784194528875
"PTAFR",0.598469905307738,0.0777247069040382
"PTGDR2",0.112644507506067,-0.231958717703248
"PTGDR",0.415967223678621,-0.119843682153713
"PTGER2",0.14125588766999,0.215371254884933
"PTGER4",0.00477918177243826,0.403169778549718
"PTGIR",0.417967082788634,-0.119639562099054
"S1PR1",1.09423879121625e-06,-0.651758575770734
"S1PR2",0.312638145449624,-0.148847615077361
"S1PR4",0.00567017109537166,0.395788102475033
"S1PR5",0.283918902707834,-0.157854739829423
"SUCNR1",0.386860187639059,0.127753615610201
"TSHR",0.009968121571766,0.368472480729754
"CALCRL",0.896547908472921,-0.0192735769086246
"GIPR",1.45776642654095e-07,0.696699956578376
"GABBR1",8.05530054098491e-05,-0.545158488927486
"GPRC5B",0.606073196071113,0.0763364211990584
"FZD1",0.952559434006102,0.00881939238191005
"FZD3",0.885708511372429,0.0212765957446809
"FZD6",2.80190164801421e-05,0.574142422926617
"GPR107",1.01426725063784e-05,0.599978289188016
"GPR137",0.00285357392695497,0.42455492835432
"GPR157",0.992403927595806,0.00141135599572387
"TPRA1",0.00361603991650578,0.414893617021277
"GNA11",0.338986016636648,-0.141037563942346
"GNA12",0.583187353047969,0.0809813287016934
"GNA13",0.0165573587109162,0.345636126791142
"GNA15",0.00204660854200151,0.437689969604863
"GNAI2",0.00651014869900232,0.389709075119409
"GNAI3",2.79037957377529e-05,0.574250976986539
"GNAO1",0.398348110598519,-0.12440295267043
"GNAQ",0.39052386964902,-0.126465479808945
"GNAS",0.028485655936931,0.31719496309162
"GNAT2",0.961593770331092,-0.00716456795484151
"GNB1",0.00310947620666879,0.421081198436822
"GNB2",0.000288252608069234,0.506621797655232
"GNB4",0.0817517124956617,0.253907946157186
"GNB5",0.01870361767068,-0.339448545375597
"GNG10",7.26794495625582e-05,0.548089448545376
"GNG12",0.00507372095111053,0.398105661611944
"GNG2",0.0113349679203734,0.364198871037777
"GNG4",6.24314951163543e-06,0.601129088332542
"GNG5",8.52582661661098e-05,0.543530178028658
"GNG7",0.0010015670200002,-0.464394268345636
"GNG8",0.665645024612219,-0.0639958795926283
"GNGT2",2.56545182644112e-07,0.684107685627443
"ARHGEF1",0.000974718718044268,0.465371254884933
"ARHGEF11",0.454607606051759,-0.110511032146432
"ARHGEF12",7.19227368079701e-06,0.608336951801997
"RGS1",1.45776642654095e-07,0.696699956578376
"RGS10",0.000269262176139712,0.508792878853669
"RGS12",0.571090679995378,0.0835866261398176
"RGS13",0.236963752696152,0.173686495874946
"RGS14",0.283343661731931,0.157729049066435
"RGS16",0.424942383433194,-0.117564046895354
"RGS18",0.815228530785681,-0.0346325048181472
"RGS19",0.941686456599247,-0.0108554059921841
"RGS2",0.00098359536236488,0.465045592705167
"RGS3",1.92398956984942e-05,0.583912288319583
"RGS4",0.00992351064484986,0.368678305247938
"RGS9",0.00335874479537239,0.417933130699088
