"","p.value","estimate.rho"
"CD97",2.22014958257991e-06,0.635801128962223
"CELSR1",0.00107105352354302,-0.457730615958185
"CELSR3",0.0223881186887233,0.330112896222319
"EMR1",0.933467474878992,0.0123754986883038
"EMR2",0.0172480931096563,0.343573599652627
"GPR113",0.0318670968337636,0.311007381676075
"GPR114",0.000468157551450266,0.490772904906643
"GPR126",0.478777050051584,0.104708643122968
"GPR133",0.10982848029442,0.233742266061037
"GPR56",2.58683587903403e-08,0.7311115935736
"GPR97",0.994148567487857,0.00108719412736527
"ADORA2A",1.29082027150189e-05,0.594007815892314
"ADORA2B",0.201368784618535,0.187718279849894
"ADORA3",0.139598336438171,0.216396704247525
"ADRA2B",0.0717349677550432,0.262264999319518
"ADRB1",0.227039099902741,0.177654713167777
"ADRB2",0.785268191064094,-0.040273556231003
"C3AR1",0.0174712691450971,0.342922275293096
"C5AR1",0.294137297499953,0.15458517659776
"CCKBR",0.188080802407539,-0.193285978973304
"CCR1",5.99363743525378e-05,0.553517151541468
"CCR10",0.409301400895048,-0.121863817253173
"CCR2",0.0227601307046629,0.329244463742944
"CCR4",0.504839647928851,0.098349978289188
"CCR5",5.14568185744086e-07,0.668584455058619
"CCR6",7.21253202578061e-05,-0.548306556665219
"CCR7",6.40179862715716e-05,-0.551671732522796
"CCR8",0.00659018827494805,0.3891663048198
"CCR9",0.553764128886957,-0.0876112792341625
"CCRL2",1.04716684704481e-07,0.703973078593139
"CMKLR1",0.425033660302964,0.117845135222543
"CNR1",0.00165119652441619,-0.442181675736163
"CNR2",8.88676092292208e-05,-0.542336083369518
"CX3CR1",0.833724835205793,0.0310464611376465
"CXCR2",0.907180961771137,0.0172833850457207
"CXCR3",1.54986722515252e-06,0.643942683456361
"CXCR4",0.686035912151101,0.0597047329570126
"CXCR5",9.61814436994541e-06,-0.601280937907078
"CXCR6",0,0.774099001302649
"CYSLTR1",0.0536080299122244,-0.280720798957881
"CYSLTR2",0.0967237238921212,0.242536099572855
"EDNRB",0.0658762401725,0.267663620658648
"F2R",1.49390431736271e-07,0.696157186278767
"F2RL2",0.369184985841414,0.132218844984802
"FFAR2",0.000412674873864767,0.489610678511248
"FFAR3",0.314145795818315,-0.148389745325114
"FPR1",0.198220944601079,0.189013137581173
"FPR2",0.195294965719393,0.190229838553245
"FPR3",0.184928984764178,0.194647445301472
"GPBAR1",0.259848003387868,0.165875105225686
"GPR132",0.521984070861586,0.0944420321320017
"GPR141",0.613125467894162,0.0748500556630306
"GPR146",0.224455572739055,0.178630553435122
"GPR15",1.59166832475937e-06,-0.630145382490108
