NAME	X	Y	cluster_cd8
TYPE	numeric	numeric	group
C00349	48.6739	-93.0526	5
C01459	47.875	-94.9717	6
C01471	95.8792	-60.2969	1
C01474	96.4172	-60.7064	1
C01475	47.887	-95.0736	6
C01476	95.9108	-60.3043	1
C01585	94.0277	-59.031	6
C01586	94.8643	-59.4676	1
C01592	93.4546	-59.7982	6
C01602	95.5306	-59.394	1
C01604	96.7921	-59.1941	1
C01621	95.4482	-58.9377	1
C01623	93.5271	-59.4037	4
C01645	96.4877	-59.1333	1
C01650	97.0003	-59.6565	1
C01707	94.7543	-59.8266	1
C01712	96.9756	-60.0714	1
C01713	96.272	-59.9473	1
C02159	-95.4254	-5.0504	3
C03342	15.3462	-14.163	6
C03447	65.2826	75.9904	4
C03449	65.6072	74.3528	4
C03451	58.1257	39.8866	4
C03455	-41.7707	63.9564	4
C03457	67.3596	76.6452	4
C03458	44.6749	26.7322	4
C03466	68.0344	77.43	4
C03467	67.8057	76.602	4
C03468	66.6883	72.8588	4
C03471	65.9093	77.8862	4
C03473	61.5125	70.9193	4
C03476	62.7947	71.8541	4
C03477	58.5269	-2.5291	4
C03478	13.4234	37.76	4
C03479	67.5003	78.4589	4
C03480	64.8654	74.6327	4
C03482	68.1786	75.5982	4
C03483	67.0874	73.4566	4
C03484	66.9371	75.6364	4
C03485	66.0911	73.3569	4
C03487	63.1625	24.2101	4
C03488	68.3773	72.3621	4
C03489	61.2754	73.4994	4
C03493	64.1305	68.8399	4
C03496	65.9185	76.4294	4
C03500	64.0871	71.8992	4
C03503	67.6382	72.2031	4
C03508	65.9593	67.7558	4
C03509	62.6213	71.7608	4
C03512	68.1976	78.0096	4
C03514	64.1442	68.2082	4
C03515	-71.7547	53.7558	4
C03518	68.7837	76.8903	4
C03519	46.5931	12.8925	4
C03523	82.3622	1.9931	4
C03524	65.8969	72.8362	4
C03528	66.8286	74.5873	4
C03529	66.2472	74.1849	4
C03534	66.8347	42.4073	4
C03535	62.7378	74.8503	4
C03536	55.747	39.9262	4
C03537	72.6193	57.6546	4
C03540	67.0019	77.569	4
C03541	68.7497	72.9965	4
C03542	66.9137	69.1415	4
C03544	67.6372	74.0568	4
C03545	59.7978	-5.6757	4
C03547	83.5457	11.7177	4
C03548	66.7431	42.3757	4
C03550	67.1572	73.8026	4
C03551	61.9523	75.8845	4
C03553	66.2147	75.9021	4
C03563	63.5205	25.6735	4
C03564	68.5571	74.6286	4
C03566	85.4966	28.6963	4
C03567	60.923	69.5085	4
